category|sku|extraction_time
half-price|340411|2023-07-08 11:01:31
half-price|27570|2023-07-08 11:01:31
half-price|57053|2023-07-08 11:01:31
half-price|257360|2023-07-08 11:01:31
half-price|253808|2023-07-08 11:01:31
half-price|253770|2023-07-08 11:01:31
half-price|57070|2023-07-08 11:01:31
half-price|172638|2023-07-08 11:01:31
half-price|211299|2023-07-08 11:01:31
half-price|30856|2023-07-08 11:01:31
half-price|27574|2023-07-08 11:01:31
half-price|245573|2023-07-08 11:01:31
half-price|92589|2023-07-08 11:01:31
half-price|310694|2023-07-08 11:01:31
half-price|30825|2023-07-08 11:01:31
half-price|320104|2023-07-08 11:01:31
half-price|47011|2023-07-08 11:01:31
half-price|77750|2023-07-08 11:01:31
half-price|253760|2023-07-08 11:01:31
half-price|663986|2023-07-08 11:01:31
half-price|855572|2023-07-08 11:01:31
half-price|252264|2023-07-08 11:01:31
half-price|135984|2023-07-08 11:01:31
half-price|203073|2023-07-08 11:01:31
half-price|163996|2023-07-08 11:01:31
half-price|855571|2023-07-08 11:01:31
half-price|429224|2023-07-08 11:01:31
half-price|105018|2023-07-08 11:01:31
half-price|186164|2023-07-08 11:01:31
half-price|253762|2023-07-08 11:01:31
half-price|46795|2023-07-08 11:01:31
half-price|618616|2023-07-08 11:01:31
half-price|45795|2023-07-08 11:01:31
half-price|330959|2023-07-08 11:01:31
half-price|253766|2023-07-08 11:01:31
half-price|320103|2023-07-08 11:01:31
half-price|144283|2023-07-08 11:01:31
half-price|45777|2023-07-08 11:01:31
half-price|204677|2023-07-08 11:01:31
half-price|98390|2023-07-08 11:01:31
half-price|144709|2023-07-08 11:01:31
half-price|855581|2023-07-08 11:01:31
half-price|245581|2023-07-08 11:01:31
half-price|370259|2023-07-08 11:01:31
half-price|247332|2023-07-08 11:01:31
half-price|641523|2023-07-08 11:01:31
half-price|200150|2023-07-08 11:01:31
half-price|253828|2023-07-08 11:01:31
half-price|330993|2023-07-08 11:01:31
half-price|321815|2023-07-08 11:01:31
half-price|58657|2023-07-08 11:01:31
half-price|253811|2023-07-08 11:01:31
half-price|65270|2023-07-08 11:01:31
half-price|44861|2023-07-08 11:01:31
half-price|370631|2023-07-08 11:01:31
half-price|89121|2023-07-08 11:01:31
half-price|172643|2023-07-08 11:01:31
half-price|200160|2023-07-08 11:01:31
half-price|620646|2023-07-08 11:01:31
half-price|624144|2023-07-08 11:01:31
half-price|113875|2023-07-08 11:01:31
half-price|330962|2023-07-08 11:01:31
half-price|370260|2023-07-08 11:01:31
half-price|45931|2023-07-08 11:01:31
half-price|321800|2023-07-08 11:01:31
half-price|200229|2023-07-08 11:01:31
half-price|236128|2023-07-08 11:01:31
half-price|118040|2023-07-08 11:01:31
half-price|83117|2023-07-08 11:01:31
half-price|320499|2023-07-08 11:01:31
half-price|253771|2023-07-08 11:01:31
half-price|148364|2023-07-08 11:01:31
half-price|245580|2023-07-08 11:01:31
half-price|99542|2023-07-08 11:01:31
half-price|105017|2023-07-08 11:01:31
half-price|121164|2023-07-08 11:01:31
half-price|686983|2023-07-08 11:01:31
half-price|138419|2023-07-08 11:01:31
half-price|319826|2023-07-08 11:01:31
half-price|641242|2023-07-08 11:01:31
half-price|233495|2023-07-08 11:01:31
half-price|463854|2023-07-08 11:01:31
half-price|330964|2023-07-08 11:01:31
half-price|82540|2023-07-08 11:01:31
half-price|957684|2023-07-08 11:01:31
half-price|272088|2023-07-08 11:01:31
half-price|147406|2023-07-08 11:01:31
half-price|199741|2023-07-08 11:01:31
half-price|167572|2023-07-08 11:01:31
half-price|486585|2023-07-08 11:01:31
half-price|200345|2023-07-08 11:01:31
half-price|576362|2023-07-08 11:01:31
half-price|204987|2023-07-08 11:01:31
half-price|230736|2023-07-08 11:01:31
half-price|16119|2023-07-08 11:01:31
half-price|641258|2023-07-08 11:01:31
half-price|78656|2023-07-08 11:01:31
half-price|165192|2023-07-08 11:01:31
half-price|330967|2023-07-08 11:01:31
half-price|245575|2023-07-08 11:01:31
half-price|148885|2023-07-08 11:01:31
half-price|77341|2023-07-08 11:01:31
half-price|6354|2023-07-08 11:01:31
half-price|200179|2023-07-08 11:01:31
half-price|765451|2023-07-08 11:01:31
half-price|213345|2023-07-08 11:01:31
half-price|823940|2023-07-08 11:01:31
half-price|558261|2023-07-08 11:01:31
half-price|823943|2023-07-08 11:01:31
half-price|77342|2023-07-08 11:01:31
half-price|84604|2023-07-08 11:01:31
half-price|253773|2023-07-08 11:01:31
half-price|200904|2023-07-08 11:01:31
half-price|576360|2023-07-08 11:01:31
half-price|505443|2023-07-08 11:01:31
half-price|3158|2023-07-08 11:01:31
half-price|684256|2023-07-08 11:01:31
half-price|96190|2023-07-08 11:01:31
half-price|263373|2023-07-08 11:01:31
half-price|138414|2023-07-08 11:01:31
half-price|205696|2023-07-08 11:01:31
half-price|62318|2023-07-08 11:01:31
half-price|320105|2023-07-08 11:01:31
half-price|149866|2023-07-08 11:01:31
half-price|86297|2023-07-08 11:01:31
half-price|141938|2023-07-08 11:01:31
half-price|679254|2023-07-08 11:01:31
half-price|200992|2023-07-08 11:01:31
half-price|927666|2023-07-08 11:01:31
half-price|147588|2023-07-08 11:01:31
half-price|320108|2023-07-08 11:01:31
half-price|148976|2023-07-08 11:01:31
half-price|370532|2023-07-08 11:01:31
half-price|846809|2023-07-08 11:01:31
half-price|730333|2023-07-08 11:01:31
half-price|34222|2023-07-08 11:01:31
half-price|277655|2023-07-08 11:01:31
half-price|343469|2023-07-08 11:01:31
half-price|225067|2023-07-08 11:01:31
half-price|205077|2023-07-08 11:01:31
half-price|254450|2023-07-08 11:01:31
half-price|200973|2023-07-08 11:01:31
half-price|263343|2023-07-08 11:01:31
half-price|813898|2023-07-08 11:01:31
half-price|468552|2023-07-08 11:01:31
half-price|26895|2023-07-08 11:01:31
half-price|143227|2023-07-08 11:01:31
half-price|243970|2023-07-08 11:01:31
half-price|310714|2023-07-08 11:01:31
half-price|98368|2023-07-08 11:01:31
half-price|813895|2023-07-08 11:01:31
half-price|150501|2023-07-08 11:01:31
half-price|200849|2023-07-08 11:01:31
half-price|142359|2023-07-08 11:01:31
half-price|98372|2023-07-08 11:01:31
half-price|85697|2023-07-08 11:01:31
half-price|168814|2023-07-08 11:01:31
half-price|230839|2023-07-08 11:01:31
half-price|157929|2023-07-08 11:01:31
half-price|320106|2023-07-08 11:01:31
half-price|143353|2023-07-08 11:01:31
half-price|20732|2023-07-08 11:01:31
half-price|726133|2023-07-08 11:01:31
half-price|208111|2023-07-08 11:01:31
half-price|620647|2023-07-08 11:01:31
half-price|730351|2023-07-08 11:01:31
half-price|201004|2023-07-08 11:01:31
half-price|137928|2023-07-08 11:01:31
half-price|138425|2023-07-08 11:01:31
half-price|150502|2023-07-08 11:01:31
half-price|820433|2023-07-08 11:01:31
half-price|844412|2023-07-08 11:01:31
half-price|88756|2023-07-08 11:01:31
half-price|199838|2023-07-08 11:01:31
half-price|471182|2023-07-08 11:01:31
half-price|262845|2023-07-08 11:01:31
half-price|229605|2023-07-08 11:01:31
half-price|816654|2023-07-08 11:01:31
half-price|345982|2023-07-08 11:01:31
half-price|200819|2023-07-08 11:01:31
half-price|275826|2023-07-08 11:01:31
half-price|92702|2023-07-08 11:01:31
half-price|120022|2023-07-08 11:01:31
half-price|157930|2023-07-08 11:01:31
half-price|202666|2023-07-08 11:01:31
half-price|60425|2023-07-08 11:01:31
half-price|730360|2023-07-08 11:01:31
half-price|136622|2023-07-08 11:01:31
half-price|142709|2023-07-08 11:01:31
half-price|159196|2023-07-08 11:01:31
half-price|92311|2023-07-08 11:01:31
half-price|205349|2023-07-08 11:01:31
half-price|206964|2023-07-08 11:01:31
half-price|726244|2023-07-08 11:01:31
half-price|686985|2023-07-08 11:01:31
half-price|726124|2023-07-08 11:01:31
half-price|204827|2023-07-08 11:01:31
half-price|726143|2023-07-08 11:01:31
half-price|8877|2023-07-08 11:01:31
half-price|607942|2023-07-08 11:01:31
half-price|148396|2023-07-08 11:01:31
half-price|271858|2023-07-08 11:01:31
half-price|8896|2023-07-08 11:01:31
half-price|813897|2023-07-08 11:01:31
half-price|220016|2023-07-08 11:01:31
half-price|92057|2023-07-08 11:01:31
half-price|320102|2023-07-08 11:01:31
half-price|813896|2023-07-08 11:01:31
half-price|147398|2023-07-08 11:01:31
half-price|468551|2023-07-08 11:01:31
half-price|588994|2023-07-08 11:01:31
half-price|430650|2023-07-08 11:01:31
half-price|610125|2023-07-08 11:01:31
half-price|726089|2023-07-08 11:01:31
half-price|324126|2023-07-08 11:01:31
half-price|271779|2023-07-08 11:01:31
half-price|8874|2023-07-08 11:01:31
half-price|325771|2023-07-08 11:01:31
half-price|85593|2023-07-08 11:01:31
half-price|705239|2023-07-08 11:01:31
half-price|641891|2023-07-08 11:01:31
half-price|705838|2023-07-08 11:01:31
half-price|245579|2023-07-08 11:01:31
half-price|277935|2023-07-08 11:01:31
half-price|715904|2023-07-08 11:01:31
half-price|88411|2023-07-08 11:01:31
half-price|142334|2023-07-08 11:01:31
half-price|208112|2023-07-08 11:01:31
half-price|627658|2023-07-08 11:01:31
half-price|843820|2023-07-08 11:01:31
half-price|262414|2023-07-08 11:01:31
half-price|686984|2023-07-08 11:01:31
half-price|725020|2023-07-08 11:01:31
half-price|66363|2023-07-08 11:01:31
half-price|275279|2023-07-08 11:01:31
half-price|200856|2023-07-08 11:01:31
half-price|143791|2023-07-08 11:01:31
half-price|307933|2023-07-08 11:01:31
half-price|153407|2023-07-08 11:01:31
half-price|92503|2023-07-08 11:01:31
half-price|107521|2023-07-08 11:01:31
half-price|817370|2023-07-08 11:01:31
half-price|725005|2023-07-08 11:01:31
half-price|814598|2023-07-08 11:01:31
half-price|68184|2023-07-08 11:01:31
half-price|324756|2023-07-08 11:01:31
half-price|19439|2023-07-08 11:01:31
half-price|210616|2023-07-08 11:01:31
half-price|206396|2023-07-08 11:01:31
half-price|199821|2023-07-08 11:01:31
half-price|820528|2023-07-08 11:01:31
half-price|634831|2023-07-08 11:01:31
half-price|384044|2023-07-08 11:01:31
half-price|780739|2023-07-08 11:01:31
half-price|236072|2023-07-08 11:01:31
half-price|193699|2023-07-08 11:01:31
half-price|715669|2023-07-08 11:01:31
half-price|83607|2023-07-08 11:01:31
half-price|573381|2023-07-08 11:01:31
half-price|725753|2023-07-08 11:01:31
half-price|71541|2023-07-08 11:01:31
half-price|23597|2023-07-08 11:01:31
half-price|636655|2023-07-08 11:01:31
half-price|260996|2023-07-08 11:01:31
half-price|852217|2023-07-08 11:01:31
half-price|254664|2023-07-08 11:01:31
half-price|258051|2023-07-08 11:01:31
half-price|178867|2023-07-08 11:01:31
half-price|114683|2023-07-08 11:01:31
half-price|308701|2023-07-08 11:01:31
half-price|71611|2023-07-08 11:01:31
half-price|155033|2023-07-08 11:01:31
half-price|259500|2023-07-08 11:01:31
half-price|819289|2023-07-08 11:01:31
half-price|157009|2023-07-08 11:01:31
half-price|235525|2023-07-08 11:01:31
half-price|147940|2023-07-08 11:01:31
half-price|203220|2023-07-08 11:01:31
half-price|206893|2023-07-08 11:01:31
half-price|37174|2023-07-08 11:01:31
half-price|164564|2023-07-08 11:01:31
half-price|80121|2023-07-08 11:01:31
half-price|272190|2023-07-08 11:01:31
half-price|189746|2023-07-08 11:01:31
half-price|259609|2023-07-08 11:01:31
half-price|375733|2023-07-08 11:01:31
half-price|147727|2023-07-08 11:01:31
half-price|213893|2023-07-08 11:01:31
half-price|881471|2023-07-08 11:01:31
half-price|855455|2023-07-08 11:01:31
half-price|681092|2023-07-08 11:01:31
half-price|84869|2023-07-08 11:01:31
half-price|699140|2023-07-08 11:01:31
half-price|828148|2023-07-08 11:01:31
half-price|642034|2023-07-08 11:01:31
half-price|263729|2023-07-08 11:01:31
half-price|635753|2023-07-08 11:01:31
half-price|627674|2023-07-08 11:01:31
half-price|819294|2023-07-08 11:01:31
half-price|189581|2023-07-08 11:01:31
half-price|152707|2023-07-08 11:01:31
half-price|282626|2023-07-08 11:01:31
half-price|6571|2023-07-08 11:01:31
half-price|741540|2023-07-08 11:01:31
half-price|572424|2023-07-08 11:01:31
half-price|322292|2023-07-08 11:01:31
half-price|572423|2023-07-08 11:01:31
half-price|200074|2023-07-08 11:01:31
half-price|138426|2023-07-08 11:01:31
half-price|725006|2023-07-08 11:01:31
half-price|169777|2023-07-08 11:01:31
half-price|78638|2023-07-08 11:01:31
half-price|75678|2023-07-08 11:01:31
half-price|268314|2023-07-08 11:01:31
half-price|221677|2023-07-08 11:01:31
half-price|365954|2023-07-08 11:01:31
half-price|256866|2023-07-08 11:01:31
half-price|1793|2023-07-08 11:01:31
half-price|260691|2023-07-08 11:01:31
half-price|726207|2023-07-08 11:01:31
half-price|138418|2023-07-08 11:01:31
half-price|222905|2023-07-08 11:01:31
half-price|231984|2023-07-08 11:01:31
half-price|202978|2023-07-08 11:01:31
half-price|790810|2023-07-08 11:01:31
half-price|232664|2023-07-08 11:01:31
half-price|262888|2023-07-08 11:01:31
half-price|33782|2023-07-08 11:01:31
half-price|119985|2023-07-08 11:01:31
half-price|205300|2023-07-08 11:01:31
half-price|780703|2023-07-08 11:01:31
half-price|119793|2023-07-08 11:01:31
half-price|634744|2023-07-08 11:01:31
half-price|88419|2023-07-08 11:01:31
half-price|205740|2023-07-08 11:01:31
half-price|106331|2023-07-08 11:01:31
half-price|365976|2023-07-08 11:01:31
half-price|85596|2023-07-08 11:01:31
half-price|158593|2023-07-08 11:01:31
half-price|232241|2023-07-08 11:01:31
half-price|78350|2023-07-08 11:01:31
half-price|233611|2023-07-08 11:01:31
half-price|120032|2023-07-08 11:01:31
half-price|508517|2023-07-08 11:01:31
half-price|771858|2023-07-08 11:01:31
half-price|194015|2023-07-08 11:01:31
half-price|85594|2023-07-08 11:01:31
half-price|164000|2023-07-08 11:01:31
half-price|609556|2023-07-08 11:01:31
half-price|258015|2023-07-08 11:01:31
half-price|221477|2023-07-08 11:01:31
half-price|88532|2023-07-08 11:01:31
half-price|220014|2023-07-08 11:01:31
half-price|681065|2023-07-08 11:01:31
half-price|486575|2023-07-08 11:01:31
half-price|308409|2023-07-08 11:01:31
half-price|234173|2023-07-08 11:01:31
half-price|138421|2023-07-08 11:01:31
half-price|75773|2023-07-08 11:01:31
half-price|659939|2023-07-08 11:01:31
half-price|726260|2023-07-08 11:01:31
half-price|273642|2023-07-08 11:01:31
half-price|152240|2023-07-08 11:01:31
half-price|221693|2023-07-08 11:01:31
half-price|85470|2023-07-08 11:01:31
half-price|223426|2023-07-08 11:01:31
half-price|257667|2023-07-08 11:01:31
half-price|780751|2023-07-08 11:01:31
half-price|143880|2023-07-08 11:01:31
half-price|271874|2023-07-08 11:01:31
half-price|172278|2023-07-08 11:01:31
half-price|204700|2023-07-08 11:01:31
half-price|134879|2023-07-08 11:01:31
half-price|686551|2023-07-08 11:01:31
half-price|994814|2023-07-08 11:01:31
half-price|234352|2023-07-08 11:01:31
half-price|705839|2023-07-08 11:01:31
half-price|272786|2023-07-08 11:01:31
half-price|325774|2023-07-08 11:01:31
half-price|86527|2023-07-08 11:01:31
half-price|725754|2023-07-08 11:01:31
half-price|254451|2023-07-08 11:01:31
half-price|376590|2023-07-08 11:01:31
half-price|192702|2023-07-08 11:01:31
half-price|53739|2023-07-08 11:01:31
half-price|994726|2023-07-08 11:01:31
half-price|114682|2023-07-08 11:01:31
half-price|137971|2023-07-08 11:01:31
half-price|892988|2023-07-08 11:01:31
half-price|164043|2023-07-08 11:01:31
half-price|247792|2023-07-08 11:01:31
half-price|828200|2023-07-08 11:01:31
half-price|726224|2023-07-08 11:01:31
half-price|151071|2023-07-08 11:01:31
half-price|633610|2023-07-08 11:01:31
half-price|825625|2023-07-08 11:01:31
half-price|791397|2023-07-08 11:01:31
half-price|96696|2023-07-08 11:01:31
half-price|147667|2023-07-08 11:01:31
half-price|178818|2023-07-08 11:01:31
half-price|198131|2023-07-08 11:01:31
half-price|220015|2023-07-08 11:01:31
half-price|247434|2023-07-08 11:01:31
half-price|460962|2023-07-08 11:01:31
half-price|272597|2023-07-08 11:01:31
half-price|280546|2023-07-08 11:01:31
half-price|380945|2023-07-08 11:01:31
half-price|894475|2023-07-08 11:01:31
half-price|828923|2023-07-08 11:01:31
half-price|134174|2023-07-08 11:01:31
half-price|138404|2023-07-08 11:01:31
half-price|205356|2023-07-08 11:01:31
half-price|215238|2023-07-08 11:01:31
half-price|89050|2023-07-08 11:01:31
half-price|307716|2023-07-08 11:01:31
half-price|247435|2023-07-08 11:01:31
half-price|65424|2023-07-08 11:01:31
half-price|79512|2023-07-08 11:01:31
half-price|162559|2023-07-08 11:01:31
half-price|649152|2023-07-08 11:01:31
half-price|627673|2023-07-08 11:01:31
half-price|726251|2023-07-08 11:01:31
half-price|699861|2023-07-08 11:01:31
half-price|157662|2023-07-08 11:01:31
half-price|270821|2023-07-08 11:01:31
half-price|159325|2023-07-08 11:01:31
half-price|153217|2023-07-08 11:01:31
half-price|609563|2023-07-08 11:01:31
half-price|702125|2023-07-08 11:01:31
half-price|108567|2023-07-08 11:01:31
half-price|307677|2023-07-08 11:01:31
half-price|740162|2023-07-08 11:01:31
half-price|107085|2023-07-08 11:01:31
half-price|155345|2023-07-08 11:01:31
half-price|178449|2023-07-08 11:01:31
half-price|365978|2023-07-08 11:01:31
half-price|339038|2023-07-08 11:01:31
half-price|232667|2023-07-08 11:01:31
half-price|85468|2023-07-08 11:01:31
half-price|78648|2023-07-08 11:01:31
half-price|600932|2023-07-08 11:01:31
half-price|202333|2023-07-08 11:01:31
half-price|154432|2023-07-08 11:01:31
half-price|196754|2023-07-08 11:01:31
half-price|230867|2023-07-08 11:01:31
half-price|78662|2023-07-08 11:01:31
half-price|86565|2023-07-08 11:01:31
half-price|827709|2023-07-08 11:01:31
half-price|207593|2023-07-08 11:01:31
half-price|981020|2023-07-08 11:01:31
half-price|263456|2023-07-08 11:01:31
half-price|147354|2023-07-08 11:01:31
half-price|223482|2023-07-08 11:01:31
half-price|85598|2023-07-08 11:01:31
half-price|78641|2023-07-08 11:01:31
half-price|740163|2023-07-08 11:01:31
half-price|365915|2023-07-08 11:01:31
half-price|634745|2023-07-08 11:01:31
half-price|855768|2023-07-08 11:01:31
half-price|143789|2023-07-08 11:01:31
half-price|365916|2023-07-08 11:01:31
half-price|247724|2023-07-08 11:01:31
half-price|239845|2023-07-08 11:01:31
half-price|633067|2023-07-08 11:01:31
half-price|852238|2023-07-08 11:01:31
half-price|258736|2023-07-08 11:01:31
half-price|365873|2023-07-08 11:01:31
half-price|198995|2023-07-08 11:01:31
half-price|147684|2023-07-08 11:01:31
half-price|678276|2023-07-08 11:01:31
half-price|726290|2023-07-08 11:01:31
half-price|191711|2023-07-08 11:01:31
half-price|322104|2023-07-08 11:01:31
half-price|138428|2023-07-08 11:01:31
half-price|215240|2023-07-08 11:01:31
half-price|138427|2023-07-08 11:01:31
half-price|233149|2023-07-08 11:01:31
half-price|189167|2023-07-08 11:01:31
half-price|204786|2023-07-08 11:01:31
half-price|242936|2023-07-08 11:01:31
half-price|63850|2023-07-08 11:01:31
half-price|365918|2023-07-08 11:01:31
half-price|486567|2023-07-08 11:01:31
half-price|892991|2023-07-08 11:01:31
half-price|140511|2023-07-08 11:01:31
half-price|66494|2023-07-08 11:01:31
half-price|726227|2023-07-08 11:01:31
half-price|627659|2023-07-08 11:01:31
half-price|423310|2023-07-08 11:01:31
half-price|271876|2023-07-08 11:01:31
